,year,SimMod2.6_co2,SimMod2.6_t,SimMod2.6_f,SimMod4.5_co2,SimMod4.5_t,SimMod4.5_f,SimMod6.0_co2,SimMod6.0_t,SimMod6.0_f,SimMod8.5_co2,SimMod8.5_t,SimMod8.5_f
0,1765,0.011009999999999999,-0.11365133816616492,-0.18134004804654338,0.011009999999999999,-0.11365133816616492,-0.18134004804654338,0.011009999999999999,-0.11365133816616492,-0.18134004804654338,0.011009999999999999,-0.11365133816616492,-0.18134004804654338
1,1766,0.030601547420999995,-0.11262403096017874,-0.1803613561888885,0.030601547420999995,-0.11262403096017874,-0.1803613561888885,0.030601547420999995,-0.11262403096017874,-0.1803613561888885,0.030601547420999995,-0.11262403096017874,-0.1803613561888885
2,1767,0.05019309631,-0.11174428963531408,-0.17946089630861178,0.05019309631,-0.11174428963531408,-0.17946089630861178,0.05019309631,-0.11174428963531408,-0.17946089630861178,0.05019309631,-0.11174428963531408,-0.17946089630861178
3,1768,0.06978464262999999,-0.11132255872019314,-0.1801633720603512,0.06978464262999999,-0.11132255872019314,-0.1801633720603512,0.06978464262999999,-0.11132255872019314,-0.1801633720603512,0.06978464262999999,-0.11132255872019314,-0.1801633720603512
4,1769,0.08937618894999999,-0.11108362259582426,-0.18102688469341108,0.08937618894999999,-0.11108362259582426,-0.18102688469341108,0.08937618894999999,-0.11108362259582426,-0.18102688469341108,0.08937618894999999,-0.11108362259582426,-0.18102688469341108
5,1770,0.10896773894000002,-0.11093398609130735,-0.18178795170169476,0.10896773894000002,-0.11093398609130735,-0.18178795170169476,0.10896773894000002,-0.11093398609130735,-0.18178795170169476,0.10896773894000002,-0.11093398609130735,-0.18178795170169476
6,1771,0.13222928489299998,-0.11092730351045146,-0.1828239419448151,0.13222928489299998,-0.11092730351045146,-0.1828239419448151,0.13222928489299998,-0.11092730351045146,-0.1828239419448151,0.13222928489299998,-0.11092730351045146,-0.1828239419448151
7,1772,0.151820831213,-0.11097231754279499,-0.1837505500354151,0.151820831213,-0.11097231754279499,-0.1837505500354151,0.151820831213,-0.11097231754279499,-0.1837505500354151,0.151820831213,-0.11097231754279499,-0.1837505500354151
8,1773,0.17141238120299998,-0.11095952133429626,-0.18419108476066062,0.17141238120299998,-0.11095952133429626,-0.18419108476066062,0.17141238120299998,-0.11095952133429626,-0.18419108476066062,0.17141238120299998,-0.11095952133429626,-0.18419108476066062
9,1774,0.19100392752300002,-0.11093932317313987,-0.18451941206846842,0.19100392752300002,-0.11093932317313987,-0.18451941206846842,0.19100392752300002,-0.11093932317313987,-0.18451941206846842,0.19100392752300002,-0.11093932317313987,-0.18451941206846842
