CMIP5 Model mean Tas (temperature atmosphere surface) values,,,,
for the different RCP scenarios,,,,
,,,,
Baseline: average over (1961 – 1990),,,,
Data source: http://climexp.knmi.nl/selectfield_cmip5.cgi,,,,
,,,,
year,rcp26,rcp45,rcp60,rcp85
1882,-0.24924222222227854,-0.2539374999999495,-0.23684333333329732,-0.24791083333332153
1883,-0.3169755555555298,-0.3281291666665993,-0.2868100000000027,-0.31854416666664065
1884,-0.6117255555555516,-0.5906874999998877,-0.59981833333336,-0.5765524999999911
1885,-0.6306172222222131,-0.5909458333332509,-0.613110000000006,-0.5747024999999439
1886,-0.5465588888888533,-0.5180208333331962,-0.5124600000000328,-0.5043024999999943
1887,-0.5144422222222147,-0.4999374999999304,-0.5010183333333202,-0.48650249999997186
1888,-0.47146722222220205,-0.4520374999999035,-0.4524350000000368,-0.44650250000000824
1889,-0.45430055555556237,-0.4407541666665793,-0.42990999999994983,-0.43970249999995303
1890,-0.4661338888888622,-0.44257083333326364,-0.43521833333329596,-0.4360941666666349
1891,-0.5105922222222716,-0.4749041666665903,-0.4802349999999933,-0.46665250000000924
1892,-0.45855055555557556,-0.43762083333325563,-0.43240166666663526,-0.43133583333332126
1893,-0.3958088888888369,-0.3810124999998834,-0.3888683333333347,-0.3778941666666924
1894,-0.36062555555554354,-0.3467458333332729,-0.3454599999999459,-0.3434191666666493
1895,-0.3116088888889408,-0.3063541666666083,-0.2880016666666734,-0.29761083333335137
1896,-0.31041722222221324,-0.31426249999992706,-0.29746833333331324,-0.30753583333330425
1897,-0.3371005555555371,-0.3106291666666152,-0.32401833333335617,-0.31258583333328716
1898,-0.33031722222222015,-0.3077541666665411,-0.31252666666659934,-0.303110833333335
1899,-0.29352555555556137,-0.27456249999988813,-0.27000999999995656,-0.28174416666666957
1900,-0.2824505555555561,-0.2719708333332278,-0.26142666666669356,-0.2748358333333272
1901,-0.27898388888888803,-0.272087499999941,-0.2629016666666075,-0.27275250000002416
1902,-0.2961422222222154,-0.29525416666655246,-0.277876666666657,-0.29583583333328534
1903,-0.4932838888888682,-0.48038749999994934,-0.4878516666666428,-0.4774441666667144
1904,-0.4708255555555638,-0.4455541666665681,-0.46645166666667137,-0.4453691666666373
1905,-0.41455055555559284,-0.3834374999999568,-0.3868516666666437,-0.37802750000003016
1906,-0.37445055555554063,-0.35883749999987913,-0.34049333333331333,-0.3580024999999978
1907,-0.34690888888894733,-0.33177083333322344,-0.3144849999999906,-0.3378191666666339
1908,-0.3194255555555401,-0.3077958333332731,-0.3006266666666306,-0.31432750000004717
1909,-0.31346722222224344,-0.28479583333324854,-0.2914349999999786,-0.2903191666666771
1910,-0.27958388888890795,-0.25807083333324954,-0.2579016666666689,-0.26196083333337583
1911,-0.2777172222221793,-0.2644041666666226,-0.24050999999997202,-0.2680275000000165
1912,-0.311858888888878,-0.30518749999993133,-0.2885766666665859,-0.30604416666670886
1913,-0.36577555555550134,-0.3636124999998742,-0.34556833333328996,-0.3602774999999383
1914,-0.306875555555564,-0.3061791666665954,-0.28688499999998385,-0.3004608333333181
1915,-0.2595505555556201,-0.26432083333321543,-0.2414349999999672,-0.2578691666666373
1916,-0.2569005555556032,-0.25200416666660885,-0.237926666666624,-0.2517275000000154
1917,-0.24121722222224662,-0.2337124999999105,-0.21295999999995274,-0.23038583333334373
1918,-0.20728388888886684,-0.21159583333320597,-0.16625999999996566,-0.2089608333334354
1919,-0.21785888888888394,-0.21221249999990732,-0.20030166666663263,-0.2050775000000158
1920,-0.18196722222228345,-0.18177083333324617,-0.1728766666666388,-0.17784416666671632
1921,-0.18045055555558065,-0.1801291666665179,-0.1475516666666863,-0.17427750000001652
1922,-0.17569222222221015,-0.18330416666657356,-0.14931833333332634,-0.17727750000000242
1923,-0.17310055555554982,-0.1725874999999064,-0.14690166666662208,-0.16710250000005544
1924,-0.15560888888893487,-0.16366249999987303,-0.13291833333335035,-0.1598774999999364
1925,-0.1560672222222479,-0.16314583333320343,-0.10898499999996147,-0.152585833333319
1926,-0.1552088888889216,-0.16275416666655929,-0.11487666666664609,-0.1478025000000116
