,year,SimMod2.6_co2,SimMod2.6_t,SimMod2.6_f,SimMod4.5_co2,SimMod4.5_t,SimMod4.5_f,SimMod6.0_co2,SimMod6.0_t,SimMod6.0_f,SimMod8.5_co2,SimMod8.5_t,SimMod8.5_f
0,1765,0.011009999999999999,-0.6180952828150421,-1.1026390468309588,0.011009999999999999,-0.6180952828150421,-1.1026390468309588,0.011009999999999999,-0.6180952828150421,-1.1026390468309588,0.011009999999999999,-0.6180952828150421,-1.1026390468309588
1,1766,0.030601547420999995,-0.6170679756090559,-1.101660354973304,0.030601547420999995,-0.6170679756090559,-1.101660354973304,0.030601547420999995,-0.6170679756090559,-1.101660354973304,0.030601547420999995,-0.6170679756090559,-1.101660354973304
2,1767,0.05019309631,-0.6161882342841912,-1.1007598950930273,0.05019309631,-0.6161882342841912,-1.1007598950930273,0.05019309631,-0.6161882342841912,-1.1007598950930273,0.05019309631,-0.6161882342841912,-1.1007598950930273
3,1768,0.06978464262999999,-0.6157665033690702,-1.1014623708447666,0.06978464262999999,-0.6157665033690702,-1.1014623708447666,0.06978464262999999,-0.6157665033690702,-1.1014623708447666,0.06978464262999999,-0.6157665033690702,-1.1014623708447666
4,1769,0.08937618894999999,-0.6155275672447014,-1.1023258834778265,0.08937618894999999,-0.6155275672447014,-1.1023258834778265,0.08937618894999999,-0.6155275672447014,-1.1023258834778265,0.08937618894999999,-0.6155275672447014,-1.1023258834778265
5,1770,0.10896773894000002,-0.6153779307401844,-1.1030869504861103,0.10896773894000002,-0.6153779307401844,-1.1030869504861103,0.10896773894000002,-0.6153779307401844,-1.1030869504861103,0.10896773894000002,-0.6153779307401844,-1.1030869504861103
6,1771,0.13222928489299998,-0.6153712481593286,-1.1041229407292306,0.13222928489299998,-0.6153712481593286,-1.1041229407292306,0.13222928489299998,-0.6153712481593286,-1.1041229407292306,0.13222928489299998,-0.6153712481593286,-1.1041229407292306
7,1772,0.151820831213,-0.6154162621916721,-1.1050495488198306,0.151820831213,-0.6154162621916721,-1.1050495488198306,0.151820831213,-0.6154162621916721,-1.1050495488198306,0.151820831213,-0.6154162621916721,-1.1050495488198306
8,1773,0.17141238120299998,-0.6154034659831734,-1.105490083545076,0.17141238120299998,-0.6154034659831734,-1.105490083545076,0.17141238120299998,-0.6154034659831734,-1.105490083545076,0.17141238120299998,-0.6154034659831734,-1.105490083545076
9,1774,0.19100392752300002,-0.615383267822017,-1.105818410852884,0.19100392752300002,-0.615383267822017,-1.105818410852884,0.19100392752300002,-0.615383267822017,-1.105818410852884,0.19100392752300002,-0.615383267822017,-1.105818410852884
10,1775,0.210595473843,-0.6153501625662136,-1.1060375749975415,0.210595473843,-0.6153501625662136,-1.1060375749975415,0.210595473843,-0.6153501625662136,-1.1060375749975415,0.210595473843,-0.6153501625662136,-1.1060375749975415
11,1776,0.230187020163,-0.6152994391347608,-1.1061508055847697,0.230187020163,-0.6152994391347608,-1.1061508055847697,0.230187020163,-0.6152994391347608,-1.1061508055847697,0.230187020163,-0.6152994391347608,-1.1061508055847697
12,1777,0.24977857015299995,-0.6152272359850699,-1.1061613797627212,0.24977857015299995,-0.6152272359850699,-1.1061613797627212,0.24977857015299995,-0.6152272359850699,-1.1061613797627212,0.24977857015299995,-0.6152272359850699,-1.1061613797627212
13,1778,0.269370116473,-0.6151304520138408,-1.1060725449959397,0.269370116473,-0.6151304520138408,-1.1060725449959397,0.269370116473,-0.6151304520138408,-1.1060725449959397,0.269370116473,-0.6151304520138408,-1.1060725449959397
14,1779,0.288961662793,-0.6150066253204588,-1.105887474218897,0.288961662793,-0.6150066253204588,-1.105887474218897,0.288961662793,-0.6150066253204588,-1.105887474218897,0.288961662793,-0.6150066253204588,-1.105887474218897
15,1780,0.308553212783,-0.614854007102509,-1.1056100549101664,0.308553212783,-0.614854007102509,-1.1056100549101664,0.308553212783,-0.614854007102509,-1.1056100549101664,0.308553212783,-0.614854007102509,-1.1056100549101664
16,1781,0.331814759103,-0.6147728661683252,-1.1056817638014138,0.331814759103,-0.6147728661683252,-1.1056817638014138,0.331814759103,-0.6147728661683252,-1.1056817638014138,0.331814759103,-0.6147728661683252,-1.1056817638014138
17,1782,0.351406305423,-0.6146835647535964,-1.1056633988377218,0.351406305423,-0.6146835647535964,-1.1056633988377218,0.351406305423,-0.6146835647535964,-1.1056633988377218,0.351406305423,-0.6146835647535964,-1.1056633988377218
18,1783,0.370997855413,-0.6144785558890071,-1.1051266469578362,0.370997855413,-0.6144785558890071,-1.1051266469578362,0.370997855413,-0.6144785558890071,-1.1051266469578362,0.370997855413,-0.6144785558890071,-1.1051266469578362
19,1784,0.390589401733,-0.6142293055191751,-1.1045047118290627,0.390589401733,-0.6142293055191751,-1.1045047118290627,0.390589401733,-0.6142293055191751,-1.1045047118290627,0.390589401733,-0.6142293055191751,-1.1045047118290627
20,1785,0.410180962733,-0.6139381293474941,-1.1037965168532669,0.410180962733,-0.6139381293474941,-1.1037965168532669,0.410180962733,-0.6139381293474941,-1.1037965168532669,0.410180962733,-0.6139381293474941,-1.1037965168532669
21,1786,0.429772487033,-0.613605706071725,-1.1030009409246206,0.429772487033,-0.613605706071725,-1.1030009409246206,0.429772487033,-0.613605706071725,-1.1030009409246206,0.429772487033,-0.613605706071725,-1.1030009409246206
