,year,ch4_emissions_tg,n2o_emissions_tg,c_emissions_pg,co2_concentration_ppm,ch4_concentration_ppb,n2o_concentration_ppb,co2_forcing_wm2,ch4_forcing_wm2,n2o_forcing_wm2,total_forcing_wm2
373,2138,887.5909,24.78516037695438,28.74,1305.9625,3698.5055,479.13975,8.299523200000001,1.0700733,0.60818888,10.023186
374,2139,887.5909,24.78516037695438,28.74,1316.1708,3694.454,480.10175,8.3411989,1.0690425,0.61066733,10.065686999999999
375,2140,887.5909,24.78516037695438,28.74,1326.3936,3690.4353,481.05484,8.3826114,1.0680195,0.61312037,10.107914
376,2141,887.5909,24.78516037695438,28.74,1336.6283,3686.4355,481.9991,8.423753199999998,1.0670007,0.61554826,10.149855
377,2142,887.5909,24.78516037695438,28.74,1346.8594,3682.2832,482.93462999999997,8.4645674,1.0659424,0.6179513,10.191389
378,2143,887.5909,24.78516037695438,28.74,1357.0727,3677.8602,483.86148,8.5050026,1.0648144,0.62032977,10.232418
379,2144,887.5909,24.78516037695438,28.74,1367.2797,3673.2877,484.77975,8.5451097,1.0636476000000001,0.62268393,10.273042
380,2145,887.5909,24.78516037695438,28.74,1377.5097,3668.6894,485.68952,8.5850075,1.0624735,0.62501406,10.313424000000001
381,2146,887.5909,24.78516037695438,28.74,1387.793,3664.168,486.59085,8.6248156,1.0613181999999999,0.62732043,10.353725
382,2147,887.5909,24.78516037695438,28.74,1398.1376,3659.8281,487.48384000000004,8.6645648,1.0602087,0.62960329,10.394015
383,2148,887.5909,24.78516037695438,28.74,1408.5226,3655.6842,488.36855,8.704174400000001,1.0591485,0.63186293,10.434221
384,2149,887.5909,24.78516037695438,28.74,1418.9467,3651.6726,489.24505999999997,8.743640199999998,1.0581216999999998,0.63409958,10.474314999999999
385,2150,887.5909,24.78516037695438,28.74,1429.3969,3647.7413,490.11345,8.7829155,1.0571148000000001,0.6363135,10.51423
386,2151,887.7612,24.746082224994645,28.470205,1439.8354,3643.8653,490.97378,8.821861199999999,1.0561215,0.63850495,10.553818
387,2152,887.93151,24.707002501927608,28.200409999999998,1450.2111,3640.057,491.82356,8.860294300000001,1.055145,0.64066759,10.592891999999999
388,2153,888.10181,24.667924349967873,27.930615000000003,1460.4793,3636.1713,492.66027,8.8980595,1.0541481000000001,0.64279513,10.631235
389,2154,888.27211,24.628844626900833,27.66082,1470.5915,3632.0838,493.48397,8.9349932,1.0530989,0.64488783,10.668633999999999
390,2155,888.44242,24.5897664749411,27.391026,1480.5564,3627.9101,494.29475999999994,8.9711403,1.0520268999999998,0.64694598,10.705179
391,2156,888.61272,24.55068675187406,27.121230999999998,1490.4552,3623.7717,495.09270999999995,9.006807199999999,1.0509633,0.64896988,10.741223
392,2157,888.78302,24.511608599914325,26.851436,1500.2994,3619.7692,495.87793,9.0420434,1.0499341,0.65095987,10.776855
393,2158,888.95332,24.47252887684729,26.581640999999998,1510.0573,3616.0047,496.65053,9.0767433,1.0489655,0.65291634,10.812008
394,2159,889.12363,24.43345072488756,26.311846000000003,1519.7332,3612.4911,497.41062999999997,9.1109311,1.0480610000000001,0.65483966,10.846713000000001
395,2160,889.29393,24.394371001820517,26.042051,1529.3276,3609.1618,498.15835,9.144616599999999,1.0472036,0.65673019,10.880955
396,2161,889.46423,24.355292849860785,25.772256,1538.8274,3605.9611,498.89379,9.177762300000001,1.0463788,0.65858829,10.914675
