,coef,coef_low,coef_high,timeframe,model,dtype
0,0.010098084885532887,0.008709992295499892,0.011486177475565882,1900 to 2017,SimMod2.6,model_time
1,0.5575999804752375,0.554102592088319,0.561097368862156,1900 to 2017,SimMod2.6,model_forcing
2,0.010068803809022813,0.008801023495295629,0.011336584122749998,1900 to 2017,SimMod4.5,model_time
3,0.5588215809916437,0.5552164257154092,0.5624267362678782,1900 to 2017,SimMod4.5,model_forcing
4,0.00999990173175565,0.008716411364732833,0.011283392098778466,1900 to 2017,SimMod6.0,model_time
5,0.5612052244993098,0.5573034799542241,0.5651069690443954,1900 to 2017,SimMod6.0,model_forcing
6,0.01012594220814438,0.008788955668281398,0.011462928748007363,1900 to 2017,SimMod8.5,model_time
7,0.5568216174585623,0.5534001705773557,0.5602430643397689,1900 to 2017,SimMod8.5,model_forcing
