,year,forcing_mean,forcing_std
140,1890.0,-1.4738762,0.33259287
141,1891.0,-1.2229714,0.32472444
142,1892.0,-0.9921002,0.3229256
143,1893.0,-0.620598,0.32975832
144,1894.0,-0.46037334,0.33075175
145,1895.0,-0.41038907,0.3344374
146,1896.0,-0.852131,0.3172999
147,1897.0,-0.8523086,0.31841463
148,1898.0,-0.7120339,0.32171294
149,1899.0,-0.5406413,0.32947418
150,1900.0,-0.48104462,0.3294797
151,1901.0,-0.47110105,0.33156997
152,1902.0,-0.9527439,0.31435326
153,1903.0,-2.2258868,0.3801705
154,1904.0,-1.1502006,0.30972356
155,1905.0,-0.7195836,0.309038
156,1906.0,-0.49754718,0.3123306
157,1907.0,-0.5680913,0.3107814
158,1908.0,-0.56791365,0.30914015
159,1909.0,-0.4057353,0.31609514
160,1910.0,-0.4163965,0.31202894
161,1911.0,-0.39656034,0.3151169
162,1912.0,-0.8171289,0.29833734
163,1913.0,-0.93751746,0.29720744
164,1914.0,-0.5553183,0.30359358
165,1915.0,-0.34430966,0.30810317
166,1916.0,-0.24257304,0.30836737
167,1917.0,-0.19223356,0.31099546
168,1918.0,-0.15243621,0.30690405
169,1919.0,-0.1820973,0.3035024
170,1920.0,-0.38306224,0.29313633
171,1921.0,-0.37236524,0.29501623
172,1922.0,-0.2727788,0.29720294
173,1923.0,-0.2327381,0.301175
174,1924.0,-0.2830398,0.29861343
175,1925.0,-0.2724963,0.292236
176,1926.0,-0.20199673,0.29108715
177,1927.0,-0.15151843,0.29008612
178,1928.0,-0.25083935,0.27924475
179,1929.0,-0.3502831,0.27250776
180,1930.0,-0.24025807,0.2720046
181,1931.0,-0.23973325,0.27364993
182,1932.0,-0.33034202,0.27165458
183,1933.0,-0.31040484,0.2730484
184,1934.0,-0.20920105,0.27725124
185,1935.0,-0.1789773,0.27525255
186,1936.0,-0.088484235,0.26923218
187,1937.0,-0.05636408,0.2691082
188,1938.0,-0.09667217,0.26464316
189,1939.0,-0.05645387,0.2670033
190,1940.0,-0.035686683,0.26700282
191,1941.0,-0.02625188,0.26353806
192,1942.0,-0.086802274,0.2595156
193,1943.0,-0.12686467,0.25619498
194,1944.0,-0.076702796,0.2596844
195,1945.0,-0.046339262,0.25778008
196,1946.0,-0.055980626,0.25186783
197,1947.0,0.024861211,0.251737
198,1948.0,0.07504717,0.25251225
199,1949.0,0.025288593,0.24476726
200,1950.0,0.015167416,0.24382184
201,1951.0,-0.015727581,0.23211786
202,1952.0,-0.05632802,0.22270767
203,1953.0,-0.05489065,0.21366535
204,1954.0,-0.09485776,0.20759837
205,1955.0,-0.025560813,0.19952844
206,1956.0,0.045392327,0.19483812
207,1957.0,0.12609676,0.18923888
208,1958.0,0.21778019,0.19429274
209,1959.0,0.21779527,0.1820449
210,1960.0,0.06705208,0.15739143
211,1961.0,-0.11448444,0.13220896
212,1962.0,-0.22551082,0.114437304
213,1963.0,-1.0484307,0.14559618
214,1964.0,-1.7103738,0.24836892
215,1965.0,-0.9750546,0.12808423
216,1966.0,-0.4617118,0.072785355
217,1967.0,-0.19984235,0.0614592
218,1968.0,-0.44892853,0.057350878
219,1969.0,-0.59879917,0.07063795
220,1970.0,-0.15747435,0.03894406
221,1971.0,0.15487605,0.07416547
222,1972.0,0.24637999,0.08118363
223,1973.0,0.13747965,0.064594395
224,1974.0,0.039696213,0.047417965
225,1975.0,-0.34996516,0.054378193
226,1976.0,0.08441858,0.052449465
227,1977.0,0.39749873,0.074555054
228,1978.0,0.46990898,0.07033648
229,1979.0,0.5226231,0.082166925
230,1980.0,0.6645691,0.08847735
231,1981.0,0.69591767,0.089674674
232,1982.0,-0.5478751,0.15841743
233,1983.0,-1.0583259,0.2597233
234,1984.0,0.046486124,0.079965025
235,1985.0,0.48907325,0.0815451
236,1986.0,0.5112485,0.08604208
237,1987.0,0.6556143,0.10337633
238,1988.0,0.8381965,0.10665992
239,1989.0,0.97090256,0.1277537
240,1990.0,0.9718875,0.12804838
241,1991.0,-0.20050946,0.20048502
242,1992.0,-1.8349074,0.4887368
243,1993.0,-0.10970253,0.18541549
244,1994.0,0.6129054,0.13141847
245,1995.0,0.8862499,0.14623141
246,1996.0,0.9671603,0.15511593
247,1997.0,1.0679309,0.16108157
248,1998.0,1.1885217,0.16248272
249,1999.0,1.3004601,0.170817
250,2000.0,1.3617499,0.17397182
251,2001.0,1.3614702,0.17334798
252,2002.0,1.412696,0.17197222
253,2003.0,1.3416948,0.17236665
254,2004.0,1.3951669,0.17709588
255,2005.0,1.385735,0.18010993
256,2006.0,1.3954868,0.18272595
257,2007.0,1.4363943,0.18480815
258,2008.0,1.3898091,0.17818019
259,2009.0,1.3371665,0.17788236
260,2010.0,1.4818852,0.178393
261,2011.0,1.4819988,0.17342044
262,2012.0,1.5662183,0.1738636
263,2013.0,1.6347984,0.17506796
264,2014.0,1.6974441,0.17565142
265,2015.0,1.7599257,0.17913117
266,2016.0,1.8414787,0.18312868
267,2017.0,1.8980997,0.18519668
