,coef,coef_low,coef_high,timeframe,model,dtype
0,0.018941439134482797,0.01859740332149628,0.019285474947469315,1970 to 2017,SimMod2.6,model_time
1,0.5827009190170955,0.5775219233006033,0.5878799147335878,1970 to 2017,SimMod2.6,model_forcing
2,0.018778501570424745,0.018491136273638156,0.019065866867211335,1970 to 2017,SimMod4.5,model_time
3,0.5864448412572799,0.5814259010543474,0.5914637814602124,1970 to 2017,SimMod4.5,model_forcing
4,0.018407836445070453,0.018217166713174384,0.018598506176966522,1970 to 2017,SimMod6.0,model_time
5,0.5937099359969755,0.5881657833978341,0.599254088596117,1970 to 2017,SimMod6.0,model_forcing
6,0.019086301372551413,0.018711694713586528,0.0194609080315163,1970 to 2017,SimMod8.5,model_time
7,0.580526862724485,0.5754508732396961,0.5856028522092738,1970 to 2017,SimMod8.5,model_forcing
