,coef_mean,coef_sd,ci_mean,model,timeframe,coef_low,coef_high
0,-0.06216698432122763,0.49830269831150925,0.2135120788628019,SimMod2.6,"[1900, 2017]",-1.081387139340956,0.9570531706985008
1,-0.06294204759244046,0.4772145303745838,0.2088797945935139,SimMod4.5,"[1900, 2017]",-1.0399607785244358,0.9140766833395549
2,-0.05507881292080785,0.42056450545287866,0.19615544775982421,SimMod6.0,"[1900, 2017]",-0.9187772398460599,0.8086196140044442
3,-0.06018905398725226,0.5150773156351686,0.21693864720414277,SimMod8.5,"[1900, 2017]",-1.1129382838508926,0.992560175876388
