,coef_mean,coef_sd,ci_mean,model,timeframe,coef_low,coef_high
0,0.0007949589998754765,0.0005199842578751279,0.001989282320576013,SimMod2.6,"[1970, 2017]",-0.001449763402718679,0.0030396814024696316
1,0.0006320214358174249,0.000519984257875128,0.001989866389674354,SimMod4.5,"[1970, 2017]",-0.001613218587544763,0.0028772614591796126
2,0.0002613563104631331,0.0005199842578751279,0.0019912192347294254,SimMod6.0,"[1970, 2017]",-0.0019850827727323646,0.0025077953936586306
3,0.0009398212379440945,0.000519984257875128,0.0019944543322096848,SimMod8.5,"[1970, 2017]",-0.0013094858991587444,0.0031891283750469335
