,coef,coef_low,coef_high,timeframe,model
0,0.032462629355180364,0.031745220876813654,0.033180037833547074,1970 to 2017,SimMod2.6
1,0.03199201285428645,0.03141943337014359,0.0325645923384293,1970 to 2017,SimMod4.5
2,0.030980795235960437,0.030593295337731155,0.03136829513418972,1970 to 2017,SimMod6.0
3,0.03283101247704289,0.032054600792999065,0.03360742416108672,1970 to 2017,SimMod8.5
